timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/12/30 19:44:44.031, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:44.036, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:44.040, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:44.044, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:44.048, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:44.052, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:44.057, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:45.062, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:45.066, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:45.070, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:45.074, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:45.078, 4, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:45.083, 5, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:45.088, 6, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:45.092, 7, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:46.097, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 3557 MiB
2025/12/30 19:44:46.101, 1, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:46.105, 2, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
2025/12/30 19:44:46.110, 3, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 1 MiB
